"","user_id","gender","age","country","language","hearingImp","musicLessons","lessonsAge","takenBefore","headphone","workspace","mdt","mpt","cabat","Tone","age_level","X","matching"
"1",5587,"Female",31," Singapore","Chinese/Mandarin","No","Yes",7,"No","Yes",NA,0.768110359194263,0.271770467327117,-1.03217334543906,"Tonal","30-39",144,53
"2",5847,"Male",17," Sweden","Chinese/Mandarin","No","Yes",8,"No","Yes","I am in a very quiet place",-0.943582743119992,0.490627922693545,-1.03716630872484,"Tonal","10-19",199,136
"3",6150,"Male",30," China","Chinese/Mandarin","No","No",NA,"No","Yes",NA,-0.113359311226796,-0.232630651430863,0.607516174130189,"Tonal","30-39",256,213
"4",6151,"Male",28," China","Chinese/Mandarin","No","Yes",8,"No","Yes","I am in a somewhat quiet place",1.1323909713575,0.500745656007704,0.737609304995429,"Tonal","20-29",257,155
"5",7288,"Female",23," Hong Kong","Chinese/Cantonese/Yue","No","Yes",5,"No","Yes",NA,0.383169247588522,1.55537108363299,0.502123364600965,"Tonal","20-29",349,23
"6",7465,"Female",37," Taiwan","Chinese/Mandarin","No","No",NA,"No","Yes",NA,0.641948197396243,0.518047623515198,1.05512127785516,"Tonal","30-39",365,78
"7",7677,"Male",26," United States","Chinese/Mandarin","No","Yes",8,"No","Yes",NA,-0.140243437978365,0.193787591682167,1.4246197458101,"Tonal","20-29",399,155
"8",7858,"Male",18," China","Chinese/Cantonese/Yue","No","Yes",15,"No","Yes","I am in a somewhat quiet place",-2.68607409070077,-0.54571841834196,1.15765911798433,"Tonal","10-19",426,143
"9",16061,"Male",44," United States","Chinese/Mandarin","No","Yes",12,"No","No","I am in a very quiet place",0.897321302242965,0.158317253985633,1.10766667530056,"Tonal","40-49",524,224
"10",9098,"Male",18," China","Chinese/Mandarin","No","No",NA,"No","No",NA,0.945561972849655,1.29226588388541,0.146634020311348,"Tonal","10-19",605,148
"11",9134,"Male",30," United States","Chinese/Mandarin","No","Yes",5,"No","No",NA,1.08720722509729,1.55537108363299,-0.488740658706378,"Tonal","30-39",608,181
"12",11368,"Male",18," China","Chinese/Mandarin","No","Yes",12,"No","No",NA,-0.81636355889081,1.90153500348173,-1.0034543790433,"Tonal","10-19",903,140
"13",13011,"Male",24," United States","Chinese/Mandarin","No","No",NA,"No","No",NA,-0.00354738812077603,0.976445616196334,-0.352194187306036,"Tonal","20-29",1070,177
"14",13234,"Female",22," United States","Chinese/Mandarin","No","Yes",13,"No","Yes",NA,0.978920842747944,0.519314951826715,-0.045670588451959,"Tonal","20-29",1103,31
"15",14818,"Male",37," United States","Chinese/Cantonese/Yue","No","Yes",13,"No","No",NA,0.0807536888812045,1.28531259796792,-0.154117973901629,"Tonal","30-39",1362,189
"16",15881,"Male",25," United States","Chinese/Mandarin","No","Yes",8,"No","No",NA,2.02728299001891,0.996275098662804,0.266044033347094,"Tonal","20-29",1608,155
"17",16289,"Male",34," Belgium","Vietnamese","No","No",NA,"No","Yes",NA,-0.0744495690014059,0.562053159395267,0.115264833254383,"Tonal","30-39",1702,213
"18",17788,"Male",48," Hong Kong","Chinese/Cantonese/Yue","No","Yes",6,"No","Yes","I am in a somewhat quiet place",-0.547320159502694,-0.743116796561986,0.642289498600376,"Tonal","40-49",1999,218
"19",17888,"Female",30," United States","Chinese/Mandarin","No","Yes",7,"No","Yes",NA,1.54246874273371,0.979544898146376,-0.403870475154565,"Tonal","30-39",2025,53
"20",18297,"Female",26," Taiwan","Chinese/Mandarin","No","Yes",6,"No","No",NA,2.26820013241875,-0.626623462730463,0.982120124603031,"Tonal","20-29",2079,24
"21",19330,"Male",22," United Kingdom","Chinese/Mandarin","No","Yes",7,"No","Yes",NA,1.59347212473886,0.183965668013155,0.398681149188181,"Tonal","20-29",2250,154
"22",19570,"Male",35," United Kingdom","Chinese/Cantonese/Yue","No","Yes",7,"No","No","I am in a very quiet place",0.578206172859393,-0.110232399836592,-1.2332363424111,"Tonal","30-39",2299,183
"23",23037,"Other",25," United States","Chinese/Mandarin","No","Yes",5,"No","No",NA,0.740256222393856,-1.33624384467902,0.792099307753987,"Tonal","20-29",2323,282
"24",20369,"Female",31," United States","Chinese/Mandarin","No","Yes",9,"No","Yes",NA,0.964128032785426,1.71526962451297,1.89300001158483,"Tonal","30-39",2449,55
"25",21345,"Female",15," Taiwan","Chinese/Taiwanese/Min Nan/Hokkien","No","Yes",4,"No","No",NA,0.120638479511565,-0.537874916586417,-0.795620524674391,"Tonal","10-19",2485,3
"26",20638,"Male",27," China","Chinese/Mandarin","No","Yes",9,"No","Yes",NA,1.73891748798017,-0.303790362471929,0.756851426574291,"Tonal","20-29",2487,156
"27",20619,"Male",24," Japan","Chinese/Mandarin","No","No",NA,"No","No",NA,0.740256222393856,0.732962492435991,0.193068206109338,"Tonal","20-29",2490,177
"28",20667,"Female",24," China","Chinese/Mandarin","No","Yes",5,"No","Yes",NA,2.26820013241875,0.698084207121715,0.337637796985894,"Tonal","20-29",2495,23
"29",20672,"Female",24," United States","Chinese/Mandarin","No","No",NA,"No","No",NA,-0.652588141704133,0.282082402266547,1.4850990946608,"Tonal","20-29",2496,47
"30",20923,"Male",24," China","Chinese/Mandarin","No","No",NA,"No","No",NA,0.0428432747166736,-0.879457814894672,-0.751484645126249,"Tonal","20-29",2533,177
"31",21004,"Male",24," China","Chinese/Cantonese/Yue","No","No",NA,"No","No",NA,0.512078362249674,0.0227514807970835,0.152255155914867,"Tonal","20-29",2552,177
"32",21130,"Female",42," Taiwan","Chinese/Taiwanese/Min Nan/Hokkien","No","Yes",4,"No","No",NA,2.02728299001891,1.38379336603186,0.674009162073666,"Tonal","40-49",2561,80
"33",21296,"Female",32," United Kingdom","Chinese/Cantonese/Yue","No","Yes",4,"No","Yes",NA,0.54384508620064,0.50461196551098,1.13703054008368,"Tonal","30-39",2602,50
"34",21521,"Female",34," United States","Chinese/Cantonese/Yue","No","Yes",3,"No","No",NA,1.59347212473886,0.654738056016149,1.4538710998147,"Tonal","30-39",2649,49
"35",21652,"Male",17," Vietnam","Vietnamese","No","Yes",10,"No","No",NA,0.0313512271021219,0.282411381759331,0.574518108429991,"Tonal","10-19",2668,138
"36",21708,"Female",27," Hong Kong","Chinese/Mandarin","No","Yes",7,"No","No",NA,-0.0744495690014059,0.650242587876276,0.187720728075167,"Tonal","20-29",2679,25
"37",22212,"Male",22," Taiwan","Chinese/Mandarin","No","No",NA,"No","Yes",NA,0.847944903767913,0.719650931301384,-1.47870003354426,"Tonal","20-29",2777,177
"38",22423,"Male",29," United States","Chinese/Mandarin","No","No",NA,"No","Yes",NA,-0.968291680958263,-0.222410583367676,-2.02143246915903,"Tonal","20-29",2818,177
"39",24369,"Female",11," United States","Vietnamese","No","Yes",8,"No","No",NA,0.496606036018244,0.680067637993158,-1.20899992326425,"Tonal","10-19",3190,7
"40",24434,"Male",28," United States","Chinese/Cantonese/Yue","No","Yes",7,"No","Yes",NA,1.96306015785698,0.178871991055391,-1.28809156616661,"Tonal","20-29",3196,154
"41",24627,"Female",25," China","Chinese/Cantonese/Yue","No","Yes",8,"No","No",NA,0.538440758186379,-0.335589977606842,0.0749434389330806,"Tonal","20-29",3229,26
"42",24727,"Female",26," United States","Chinese/Cantonese/Yue","No","Yes",8,"No","Yes",NA,0.140537758897821,-2.17464345642486,-1.74852886653488,"Tonal","20-29",3249,26
"43",25237,"Male",19," United States","Chinese/Cantonese/Yue","No","No",NA,"No","Yes","I am in a very quiet place",1.04824621085676,0.146299025818979,0.146634020311348,"Tonal","10-19",3328,148
"44",25401,"Male",30," United States","Chinese/Cantonese/Yue","No","Yes",9,"No","Yes",NA,1.47453766493739,-0.0424012437689492,1.05512127785516,"Tonal","30-39",3360,185
"45",25926,"Female",31," Germany","Chinese/Mandarin","No","Yes",6,"No","No",NA,0.698869006503802,1.41925188231032,1.00059612901538,"Tonal","30-39",3460,52
"46",26088,"Male",20," China","Chinese/Mandarin","No","No",NA,"No","Yes",NA,0.31967777827477,0.298193166326807,-1.11601323345051,"Tonal","20-29",3494,177
"47",26621,"Male",28," United States","Chinese/Mandarin","No","No",NA,"No","Yes",NA,1.6570660329037,-0.538916724899576,0.475952922488848,"Tonal","20-29",3585,177
"48",26674,"Female",29," United States","Chinese/Mandarin","No","Yes",10,"No","Yes",NA,1.65432792082349,0.338614573512862,0.776200776234128,"Tonal","20-29",3590,28
"49",27073,"Male",30," United States","Chinese/Mandarin","No","No",NA,"No","Yes",NA,0.1728814233011,-0.698647446726808,-1.18365917296145,"Tonal","30-39",3640,213
"50",28262,"Female",35," United States","Chinese/Cantonese/Yue","No","Yes",15,"No","Yes",NA,0.695116752067465,0.68710836134966,0.0976597256695257,"Tonal","30-39",3820,61
"51",28760,"Male",20," Taiwan","Chinese/Cantonese/Yue","No","Yes",12,"No","Yes",NA,3.28213746280578,-0.858537928974716,0.85594551575967,"Tonal","20-29",3894,159
"52",29387,"Female",27," United States","Chinese/Mandarin","No","Yes",5,"No","No",NA,1.15293487968378,1.32078081888211,0.259872026013556,"Tonal","20-29",3979,23
"53",424604,"Male",19," Singapore","Chinese/Mandarin","No","Yes",7,"No","No",NA,-0.416610315792607,1.7907187379083,1.78381847370375,"Tonal","10-19",4273,135
"54",53580,"Male",19," Singapore","Chinese/Mandarin","No","Yes",7,"No","Yes",NA,0.902926594198906,1.08347472602172,-0.0962463401182113,"Tonal","10-19",4274,135
"55",51165,"Male",23," China","Chinese/Mandarin","No","Yes",10,"No","Yes",NA,1.36178077664563,0.382400654319113,0.4720353409765,"Tonal","20-29",4496,157
"56",49998,"Male",44," Hong Kong","Chinese/Cantonese/Yue","No","Yes",11,"No","No",NA,1.27972899026588,0.785835275884867,-0.690762746003967,"Tonal","40-49",4511,223
"57",51749,"Male",14," Vietnam","Vietnamese","No","No",NA,"No","Yes","I am in a very quiet place",2.09663307871574,-1.94923783902266,-0.771598180058326,"Tonal","10-19",4539,148
"58",49151,"Male",26," China","Chinese/Mandarin","No","Yes",15,"No","Yes",NA,2.31992544856703,0.718914921388741,1.77353661790974,"Tonal","20-29",4618,162
"59",62731,"Male",19," Hong Kong","Chinese/Cantonese/Yue","No","Yes",16,"No","Yes","I am in a somewhat quiet place",1.54246874273371,1.27942237824827,0.942198822558067,"Tonal","10-19",4748,144
"60",51364,"Male",36," Taiwan","Chinese/Taiwanese/Min Nan/Hokkien","No","Yes",16,"No","No",NA,0.0636767767452862,0.284957678022154,0.0937905957170091,"Tonal","30-39",5034,192
"61",51773,"Male",22," Thailand","Thai","No","Yes",13,"No","Yes",NA,1.54246874273371,1.24628540346667,0.26208341515284,"Tonal","20-29",5224,160
"62",52540,"Male",25," Vietnam","Vietnamese","No","Yes",15,"No","Yes",NA,0.262430251741528,0.642604090391787,0.792099307753987,"Tonal","20-29",5343,162
"63",53658,"Male",22," United Kingdom","Thai","No","Yes",10,"No","Yes",NA,0.698237555967439,0.241062059985763,0.444320355084147,"Tonal","20-29",5627,157
"64",53669,"Female",18," Malaysia","Chinese/Mandarin","No","Yes",13,"No","Yes","I am in a very quiet place",-0.0697972911370296,0.791282819212551,0.76233406632215,"Tonal","10-19",5631,12
"65",53789,"Male",29," United States","Chinese/Mandarin","No","Yes",7,"No","Yes",NA,1.65432792082349,1.24063970637822,0.160596562133704,"Tonal","20-29",5683,154
