"","user_id","score"
"1",1434179,5
"2",1434182,6
"3",1434195,6
"4",1434201,6
"5",1434220,5
"6",1434231,6
"7",1434238,6
"8",1434239,2
"9",1434257,0
"10",1434258,5
"11",1434259,6
"12",1434261,6
"13",1434273,5
"14",1434276,5
"15",1434295,6
"16",1434297,6
"17",1434314,4
"18",1434317,4
"19",1434320,6
"20",1434332,6
"21",1434335,6
"22",1434336,6
"23",1434346,6
"24",1434347,5
"25",1434354,6
"26",1434373,5
"27",1434379,6
"28",1434386,4
"29",1434389,6
"30",1434394,4
"31",1434397,6
"32",1434407,3
"33",1434416,0
"34",1434419,6
"35",1434424,6
"36",1434425,6
"37",1434436,6
"38",1434447,6
"39",1434448,5
"40",1434459,2
"41",1434466,5
"42",1434475,6
"43",1434496,5
"44",1434498,6
"45",1434499,6
"46",1434506,6
"47",1434509,6
"48",1434529,5
"49",1434530,6
"50",1434531,6
"51",1434535,6
"52",1434538,5
"53",1434559,6
"54",1434566,3
"55",1434595,6
"56",1434606,6
"57",1434611,6
"58",1434613,6
"59",1434644,6
"60",1434648,6
"61",1434649,6
"62",1434663,6
"63",1434673,6
"64",1434704,6
"65",1434744,6
"66",1434764,6
"67",1434771,6
"68",1434804,6
"69",1434809,5
"70",1434822,6
"71",1434824,6
"72",1434841,6
"73",1434863,6
"74",1434874,6
"75",1434885,6
"76",1434886,1
"77",1434893,5
"78",1434917,6
"79",1434919,6
"80",1434921,6
"81",1434937,6
"82",1434939,6
"83",1434941,5
"84",1434951,6
"85",1434969,5
"86",1434973,6
"87",1434975,6
"88",1434985,0
"89",1434988,6
"90",1434998,5
"91",1435008,6
"92",1435011,0
"93",1435022,3
"94",1435032,6
"95",1435034,6
"96",1435035,6
"97",1435036,0
"98",1435038,6
"99",1435041,4
"100",1435044,6
"101",1435046,6
"102",1435071,6
"103",1435073,0
"104",1435081,2
"105",1435082,5
"106",1435084,4
"107",1435088,6
"108",1435096,5
"109",1435109,6
"110",1435110,6
"111",1435117,6
"112",1435118,4
"113",1435120,4
"114",1435124,6
"115",1435132,6
"116",1435133,6
"117",1435134,5
"118",1435135,6
"119",1435152,6
"120",1435155,6
"121",1435161,6
"122",1435184,6
"123",1435186,6
"124",1435210,6
"125",1435211,6
"126",1435214,4
"127",1435239,6
"128",1435253,6
"129",1435259,5
"130",1435260,6
"131",1435270,6
"132",1435284,5
"133",1435288,6
"134",1435296,3
"135",1435311,6
"136",1435341,5
"137",1435357,6
"138",1435361,6
"139",1435375,6
"140",1435376,6
"141",1435389,6
"142",1435393,6
"143",1435417,6
"144",1435421,6
"145",1435443,6
"146",1435470,6
"147",1435483,6
"148",1435493,6
"149",1435505,6
"150",1435516,6
"151",1435520,6
"152",1435524,6
"153",1435557,6
"154",1435559,2
"155",1435588,6
"156",1435603,5
"157",1435619,5
"158",1435629,6
"159",1435654,5
"160",1435663,5
"161",1435665,6
"162",1435671,6
"163",1435678,5
"164",1435679,6
"165",1435682,6
"166",1435687,6
"167",1435717,6
"168",1435731,6
"169",1435746,6
"170",1435750,4
"171",1435752,6
"172",1435755,6
"173",1435766,4
"174",1435776,5
