L1,age,sex,years_music,AOA,LOR,L2class_age,L2class_length,pitch_thresh,matched_for_pitch_thresh,dur_thresh,DSA_pitch_performance,DSA_amplitude_performance,DSA_pitch_pitch_weight,DSA_pitch_amplitude_weight,DSA_pitch_normalized_pitch_weight,DSA_amplitude_pitch_weight,DSA_amplitude_amplitude_weight,DSA_amplitude_normalized_pitch_weight,prosody_pitch_weight,prosody_dur_weight,prosody_normalized_pitch_weight,music_pitch_weight,music_dur_weight,music_normalized_pitch_weight
C,25,2,0,24,0.75,10,15,2.4,no,26.6667,0.58333,0.58333,0.42748,0.32045,0.57155,0.43495,0.43495,0.5,-0.21693,0.56559,0.27722,3.4596,0.82378,0.80768
C,29,1,0.5,28,0.41667,12,10,3,no,13.8571,0.97917,0.6875,177.5347,46.5737,0.79218,0.59917,0.9995,0.37479,3.2941,0.1564,0.95467,4.729,2.5165,0.65269
C,22,1,7,22,0.41667,4,18,4.1667,no,26.4286,0.91667,0.85417,3.5139,-0.25373,0.93266,0.3765,2.2053,0.14583,0.59478,1.5118,0.28235,3.9194,1.7403,0.69252
C,22,1,5,22,0.41667,6,14,4.2857,no,5.4286,1,0.79167,78.8052,-1.46E-13,1,0.3608,1.0562,0.25462,1.6437,1.0199,0.6171,5.7395,2.2477,0.71859
C,22,1,9,22,0.41667,9,13,4.2857,no,23.75,0.95833,0.58333,4.8507,-1.61E-14,1,1.4206,0.21216,0.87006,0.41162,1.8351,0.18321,6.2738,1.3722,0.82053
C,23,1,2,22,0.75,7,16,4.6667,no,35.3333,0.97917,0.70833,187.087,-50.0543,0.78893,0.23236,0.52939,0.30504,4.3478,-0.25135,0.94535,3.3917,0.84044,0.80141
C,23,2,0,23,0.41667,10,14,5.7143,no,29.25,0.91667,0.54167,4.3139,0.90393,0.82676,1.2966,0.40087,0.76384,1.9553,0.57885,0.77158,2.4623,1.7338,0.5868
C,22,1,5,22,0.41667,6,14,6,no,14.7143,0.91667,0.5,36.3265,0.64454,0.98257,0.73,-0.15555,0.82435,0.16126,1.0928,0.12858,6.1904,2.0451,0.75167
C,23,1,9,23,0.41667,6,14,6.2857,no,23.7143,0.97917,0.54167,37.9612,0.4588,0.98806,1.0449,0.35718,0.74525,1.0161,1.4059,0.41952,2.4979,2.284,0.52236
C,28,1,0,27,0.58,9,14,6.3333,no,20.3333,0.95833,0.52083,110.1919,36.2685,0.75237,1.7398,0.30862,0.84934,1.0433,2.3912,0.30378,2.9915,1.894,0.61232
C,24,1,9,23,0.66,7,16,6.3333,yes,26.6667,0.89583,0.52083,2.1631,-0.22195,0.90694,2.1631,0.22195,0.90694,1.9931,0.75456,0.72538,42.1559,3.7827,0.91766
C,23,1,0,22,0.41667,6,16,6.4286,yes,19.7143,1,0.79167,78.8052,-1.46E-13,1,0.36053,1.6307,0.18106,3.7318,0.72354,0.8376,2.7468,1.6676,0.62223
C,23,1,0,22,0.41667,9,14,6.4286,yes,50,0.875,0.64583,2.7469,-1.11E-14,1,0.58516,0.58516,0.5,1.863,0.37919,0.83088,40.829,1.8372,0.95694
C,25,1,2,24,1,8,9,6.8333,yes,30.8333,0.89583,0.58333,3.1668,0.3294,0.90578,0.98684,0.53129,0.65003,0.23442,0.57058,0.29121,4.984,1.2761,0.79615
C,29,1,0,28,0.41667,7,13,7.5714,yes,28.8,0.91667,0.5625,3.9619,0.55379,0.87736,0.93296,0.47782,0.66131,2.8143,0.23072,0.92423,6.6213,2.1302,0.75659
C,22,1,0,21,0.41667,8,13,8.1429,yes,26.7143,0.79167,0.58333,1.4013,0.2095,0.86994,0.52142,0.37814,0.57964,0.082735,0.36927,0.18304,1.2715,1.4253,0.4715
C,20,1,7,19,0.5,6,14,8.6,yes,29.3333,0.95833,0.60417,35.7195,0.50664,0.98601,0.98472,0.3041,0.76405,0.29098,0.30748,0.48621,1.577,1.1604,0.57609
C,22,1,0,21,0.75,9,9,10,yes,28.1667,0.66667,0.5625,0.64663,7.43E-16,1,0.034171,0.17022,0.16718,-0.11182,0.72697,0.13331,7.2748,2.0852,0.77722
C,24,1,5,23,0.41667,7,16,10.1429,yes,17.8571,0.72917,0.58333,1.3051,0.88921,0.59477,1.4186,0.75309,0.65322,1.4993,0.063279,0.9595,2.6683,0.96509,0.73438
C,23,1,0,22,0.41667,8,11,10.25,yes,15,0.66667,0.54167,0.83481,0.24525,0.77293,1.1858,0.19269,0.86021,-0.010202,0.75709,0.013296,1.2408,0.73531,0.6279
C,23,1,0,23,0.58,8,15,10.3333,yes,24.8333,0.75,0.6875,1.236,0.91194,0.57544,0.10891,0.52592,0.17156,0.51689,0.61454,0.45684,1.5119,1.3925,0.52055
C,22,1,12,22,0.41667,8,12,11,yes,15.4286,0.58333,0.60417,0.68813,-0.47262,0.59283,2.1387,1.1123,0.65786,0.24522,2.0188,0.10831,4.5519,1.7207,0.72568
C,22,1,6,21,0.41667,10,12,11.1667,yes,21.8,0.83333,0.70833,1.29,-0.30002,0.81131,1.4775,1.3907,0.51512,0.47557,1.5593,0.23371,4.9814,3.33,0.59935
C,24,1,0,23,0.66,11,12,11.1667,yes,48.5,0.875,0.60417,2.0005,0.55672,0.78229,0.31931,0.38777,0.45159,-0.80468,0.053088,0.93811,1.797,1.4613,0.55152
C,22,1,2,22,0.41667,4,18,11.4286,yes,14.8571,0.9375,0.52083,4.1603,0.1597,0.96303,1.4704,0.054084,0.96452,0.46914,0.87142,0.34996,2.0336,1.1884,0.63116
C,24,1,10,23,0.83,5,15,11.8333,yes,8.6667,0.77083,0.64583,1.3189,-0.050343,0.96323,-0.18221,0.52925,0.25611,1.2458,0.27263,0.82045,71.5179,34.2675,0.67607
C,22,1,3,22,0.66,3,16,12.6667,yes,17,0.89583,0.60417,2.1631,0.22195,0.90694,0.88232,0.2911,0.75192,1.0339,0.54291,0.65568,1.94,1.5897,0.54962
C,23,1,6,23,0.41667,9,13,12.75,yes,16.4286,0.85417,0.5,2.8691,0.86624,0.7681,0.82251,-0.08094,0.91041,1.2446,0.13807,0.90014,7.3091,2.6522,0.73375
C,22,2,0,22,0.41667,6,16,13.4286,yes,33.7143,0.70833,0.64583,0.95244,0.17396,0.84556,0.82992,0.75131,0.52486,1.0224,0.36514,0.73684,2.3882,1.574,0.60275
C,22,1,1,21,0.66,12,11,14,yes,12.6667,0.89583,0.45833,2.5533,-0.25664,0.90867,1.0404,-0.26767,0.79537,1.998,0.1615,0.92521,2.921,1.2596,0.6987
