Language comparison,Measure overall,Measure,Study,Tonal $n$,Comparison $N$,Tonal Mean,Tonal SD,Non-tonal Mean,Non-tonal SD,Cohen's D,Criteria,Measure Description,Measure Classification,Music Lesson,Notes,Flip
Mandarin vs. English,Melodic discrimination,Melodic discrimination,Alexander et al. (2008),14,14,,,,,0.93,Sensitivity (d'),"2 blocks of 48 five-note melodies; 2AFC; Different trials differed by different combinations of 4, 3, 2, or 1 notes",Melodic Discrimination,"Minimal (less than 4.5 years), no significant differences between groups","Mann-Whiteney U = 140.5, p < 0.05; two-tailed t(21.86)= 2.45, p < 0.05, d = 0.93",
Mandarin vs. English,Melodic comparison,Melodic comparison,Bradley (2016),26,26,,,,,,,"Modified version of the Melodic Comparison subtest of the Musical Ear Test; piano melodies containing 3-8 notes at 100 bpm. Melodies presented in pairs, judge whether identical. Authors came up with the register test. 26 trials per condition with 13 violations each",,"Some participants received musical training, but total years of training not significantly different across groups","They had a main linear regression result but also did Mann-Whiteney tests for different trial types. beta = 0.09, t = 3.32, p < 0.001; Comes from mixed effect model; not sure if this is standardized",
Mandarin vs. English,Melodic comparison,  Contour,Bradley (2016),26,26,0.85,0.15,0.66,0.2,,Accuracy,position of two notes are interchanged,Melodic Discrimination,,accuracy,
Mandarin vs. English,Melodic comparison,  Interval,Bradley (2016),26,26,0.34,0.16,0.22,0.13,,Accuracy,pitch of a single note changed by one or two semitone,Melodic Discrimination,,,
Mandarin vs. English,Melodic comparison,  Register,Bradley (2016),26,26,0.82,0.22,0.8,0.15,,Accuracy,Second melody transposed up or down by 2 semitones with same internal structure,Rhythm,,,
Mandarin vs. English,Pitch discrimination,Pitch discrimination,Giuliano et al. (2011),17,16,,,,,,,"two-tone sequences, first tone always C5; hear a pair and respond whether second tone is same or different; 130 same and 130 different trials","fine-tuned, tones",Both groups not significantly different in years of musical training,"F(1, 31) = 7.7, p = 0.009, graph only has specific breakdowns by cents",
Mandarin vs. English,Pitch discrimination,  200 down,Giuliano et al. (2011),17,16,0.934,0.111323852,0.878,0.104,,Sensitivity d',,,,Think it's se in the graph so converted to sd here,
Mandarin vs. English,Pitch discrimination,  100 down,Giuliano et al. (2011),17,16,0.93,0.115446958,0.895,0.108,,Sensitivity d',,,,,
Mandarin vs. English,Pitch discrimination,  50 down ,Giuliano et al. (2011),17,16,0.928,0.144308697,0.839,0.14,,Sensitivity d',,,,,
Mandarin vs. English,Pitch discrimination,  25 down ,Giuliano et al. (2011),17,16,0.848,0.222647704,0.665,0.216,,Sensitivity d',,,,,
